Havana,23.13,-82.39
Camaguey,21.4,-77.91
Grand Cayman,19.33,-81.25
Kingston,17.99,-76.8
Port-au-Prince,18.54,-72.34
San Juan,18.44,-66.13
Anguilla,18.21,-63.06
Guadeloupe,16.25,-61.58
Martinique,14.67,-61
Barbados,13.17,-59.53
Grenada,12.12,-61.67
Port of Spain,10.66,-61.51
Caracas,10.54,-66.93
Maracaibo,10.73,-71.66
Aruba,12.5,-69.97
Barranquilla,10.96,-74.8
Panama City,8.97,-79.53
San Jose,9.93,-84.08
Bluefields,12.01,-83.77
San Pedro Sula,15.47,-88.03
Belize City,17.5,-88.19
Cancun,21.17,-86.83
